airport_icao,airport_iata,airport_name,airport_city,country_code,match_status,country_name
ENRA,MQN,"Mo i Rana Airport, Røssvoll",Mo i Rana,NO,Matched,Norway
ENRM,RVK,"Rørvik Airport, Ryum",Rørvik,NO,Matched,Norway
ENRO,RRS,Røros Airport,Røros,NO,Matched,Norway
ENRY,,"Moss Airport, Rygge",Oslo,NO,Matched,Norway
ENSH,SVJ,"Svolvær Airport, Helle",Svolvær,NO,Matched,Norway
ENSK,SKN,"Stokmarknes Airport, Skagen",Hadsel,NO,Matched,Norway
ENSN,,Skien Airport,Geiteryggen,NO,Matched,Norway
ENSO,SRP,"Stord Airport, Sørstokken",Leirvik,NO,Matched,Norway
ENST,SSJ,"Sandnessjøen Airport, Stokka",Alstahaug,NO,Matched,Norway
ENTO,TRF,"Sandefjord Airport, Torp",Sandefjord(Torp),NO,Matched,Norway
ENVA,TRD,"Trondheim Airport, Værnes",Trondheim,NO,Matched,Norway
ENZV,SVG,"Stavanger Airport, Sola",Stavanger,NO,Matched,Norway
EPBY,BZG,Ignacy Jan Paderewski Bydgoszcz Airport,Bydgoszcz,PL,Matched,Poland
EPCE,,Cewice Naval Air Base,Siemirowice,PL,Matched,Poland
EPDE,,Deblin Military Air Base,Dęblin,PL,Matched,Poland
EPGD,GDN,Gdańsk Lech Wałęsa Airport,Gdańsk,PL,Matched,Poland
EPIR,,Inowroclaw Military Air Base,,PL,Matched,Poland
EPKK,KRK,Kraków John Paul II International Airport,Balice,PL,Matched,Poland
EPKS,,Krzesiny Military Air Base,Poznań,PL,Matched,Poland
EPKT,KTW,Katowice Wojciech Korfanty International Airport,Katowice,PL,Matched,Poland
EPLB,LUZ,Lublin Airport,Lublin,PL,Matched,Poland
EPLK,,Łask Air Base,Łask,PL,Matched,Poland
EPLL,LCJ,Łódź Władysław Reymont Airport,Łódź,PL,Matched,Poland
EPLY,,Leźnica Wielka Air Base,Leźnica Wielka,PL,Matched,Poland
EPMB,,Malbork Królewo Air Base,Królewo,PL,Matched,Poland
